Frame Rate:,25.0000000000
Frame Number,Timecode,content_val,delta_hue,delta_lum,delta_sat
1,00:00:00.040,12.421276765046295,12.18650390625,9.619555121527778,15.45777126736111
2,00:00:00.080,12.649459635416667,12.427035590277777,9.844976128472222,15.6763671875
3,00:00:00.120,12.741618923611112,12.500882161458334,10.114849175347222,15.609125434027778
4,00:00:00.160,12.861440248842593,12.659775390625,10.254184027777777,15.670361328125
5,00:00:00.200,12.888781828703705,12.719100477430555,10.454801432291667,15.492443576388888
6,00:00:00.240,12.616653284143517,12.187671440972222,10.573451605902777,15.088836805555555
7,00:00:00.280,13.716208405671296,13.512788628472222,11.694762369791667,15.94107421875
8,00:00:00.320,15.11313621238426,15.159041883680555,13.178045789930556,17.002320963541667
9,00:00:00.360,16.581761791087963,16.54285373263889,14.75776150173611,18.44467013888889
10,00:00:00.400,16.19712818287037,15.853337673611112,14.554576822916667,18.183470052083333
11,00:00:00.440,15.267973813657406,14.967816840277777,13.479994574652778,17.356110026041666
12,00:00:00.480,14.243531539351851,14.537854817708334,12.187259114583334,16.00548068576389
13,00:00:00.520,13.105341073495373,12.962210286458333,11.271848958333333,15.081963975694444
14,00:00:00.560,12.132457682291665,11.903975694444444,10.487369791666667,14.006027560763888
15,00:00:00.600,11.578180700231483,11.62052734375,9.789527994791667,13.324486762152778
16,00:00:00.640,11.354618055555557,11.575741102430555,9.403361545138889,13.084751519097223
17,00:00:00.680,10.657788266782408,10.305233289930555,9.116151258680556,12.551980251736111
18,00:00:00.720,10.856824363425927,10.798130425347223,9.036896701388889,12.735445963541666
19,00:00:00.760,10.835969690393519,10.874658203125,8.977342664930555,12.655908203125
20,00:00:00.800,10.852865668402778,10.87041015625,8.949307725694444,12.738879123263889
21,00:00:00.840,11.171328125,11.207496744791667,9.127300347222222,13.179187282986112
22,00:00:00.880,11.036944444444444,10.852998046875,9.141087239583333,13.116748046875
23,00:00:00.920,11.190506004050926,11.031353081597222,9.21178493923611,13.328379991319444
24,00:00:00.960,11.373851273148148,11.263170572916666,9.277409939236112,13.580973307291666
25,00:00:01.000,11.308628110532409,11.013846571180556,9.35979275173611,13.552245008680556
26,00:00:01.040,11.344725477430556,11.098186848958333,9.340567491319444,13.595422092013889
27,00:00:01.080,11.492556061921297,11.205387369791667,9.458465711805555,13.813815104166666
28,00:00:01.120,11.297664930555555,10.850995008680556,9.414971788194444,13.627027994791666
29,00:00:01.160,11.573846932870369,11.390257161458333,9.458973524305556,13.872310112847222
30,00:00:01.200,11.279412977430555,11.064352213541667,9.31314453125,13.4607421875
31,00:00:01.240,11.568386140046295,11.261248914930556,9.568068576388889,13.875840928819445
32,00:00:01.280,11.501437355324073,11.334995659722223,9.293270399305555,13.876046006944444
33,00:00:01.320,11.50037326388889,11.22472439236111,9.395056423611111,13.881338975694444
34,00:00:01.360,11.636150535300926,11.37732638888889,9.444680989583333,14.086444227430556
35,00:00:01.400,11.728833550347224,11.380571831597223,9.542396918402778,14.263531901041667
36,00:00:01.440,12.151347294560184,11.926358506944444,9.835680338541666,14.692003038194445
37,00:00:01.480,11.795934968171297,11.688725043402778,9.408824869791667,14.290254991319445
38,00:00:01.520,11.581034071180556,11.523876953125,9.163256293402778,14.05596896701389
39,00:00:01.560,11.627678313078704,11.568693576388888,9.233461371527778,14.080879991319444
40,00:00:01.600,11.54128002025463,11.476137152777778,9.163118489583333,13.984584418402777
41,00:00:01.640,11.624418041087964,11.535496961805556,9.250215928819445,14.08754123263889
42,00:00:01.680,11.939290364583334,11.876495225694445,9.522885199652778,14.418490668402777
43,00:00:01.720,11.921172236689815,11.734198133680556,9.514644097222222,14.514674479166667
44,00:00:01.760,11.790515769675928,11.565791015625,9.449881727430556,14.355874565972222
45,00:00:01.800,11.792847945601851,11.47935329861111,9.57542209201389,14.323768446180555
46,00:00:01.840,11.966170066550925,11.556529947916667,9.661846788194444,14.680133463541667
47,00:00:01.880,11.707191478587964,11.241514756944444,9.525635850694444,14.354423828125
48,00:00:01.920,11.667766565393519,11.1137109375,9.535860460069445,14.353728298611111
49,00:00:01.960,11.62605034722222,11.048978949652778,9.5565234375,14.272648654513889
50,00:00:02.000,11.744508101851851,11.126202256944444,9.634754774305556,14.472567274305556
51,00:00:02.040,11.635084997106482,10.907876519097222,9.657554253472222,14.33982421875
52,00:00:02.080,11.451400462962964,10.800530598958334,9.50258029513889,14.051090494791667
53,00:00:02.120,11.294666883680556,10.708026258680556,9.315269097222222,13.860705295138889
54,00:00:02.160,11.129707392939816,10.455057508680556,9.256123046875,13.677941623263889
55,00:00:02.200,10.79637622974537,10.004312065972222,9.172420789930555,13.212395833333334
56,00:00:02.240,10.917985026041668,10.044168836805556,9.293500434027777,13.416285807291667
57,00:00:02.280,10.663416160300926,9.792126736111111,9.119842664930555,13.078279079861112
58,00:00:02.320,10.704599247685186,9.550181206597221,9.307935112847222,13.255681423611112
59,00:00:02.360,11.120690465856482,9.936751302083334,9.586690538194444,13.838629557291666
60,00:00:02.400,11.338426649305555,10.219058159722222,9.717358940972222,14.078862847222222
61,00:00:02.440,11.279777922453704,10.176295572916667,9.700523003472222,13.962515190972223
62,00:00:02.480,11.49558449074074,10.462456597222221,9.777632378472223,14.246664496527778
63,00:00:02.520,11.247300708912036,10.243617621527777,9.599532335069444,13.89875217013889
64,00:00:02.560,11.219761284722223,10.137619357638888,9.554254557291667,13.967409939236111
65,00:00:02.600,10.942171947337963,9.80311740451389,9.389934895833333,13.633463541666666
66,00:00:02.640,10.688155381944446,9.420073784722222,9.317446831597222,13.326945529513889
67,00:00:02.680,10.98887478298611,9.645487196180556,9.592517361111112,13.728619791666667
68,00:00:02.720,10.925159866898149,9.445358072916667,9.70061306423611,13.629508463541667
69,00:00:02.760,10.82321433738426,9.346142578125,9.670651041666666,13.452849392361111
70,00:00:02.800,10.808269675925928,9.084013671875,9.73932834201389,13.60146701388889
71,00:00:02.840,10.855027850115741,9.173628472222223,9.744638671875,13.64681640625
72,00:00:02.880,10.320563151041666,8.443780381944444,9.474779730902778,13.043129340277778
73,00:00:02.920,10.166665943287036,8.319898003472222,9.30211697048611,12.877982855902777
74,00:00:02.960,10.351264467592593,8.643391927083334,9.367798394097223,13.042603081597223
75,00:00:03.000,10.31013744212963,8.501703559027778,9.386502821180555,13.042205946180555
76,00:00:03.040,10.441748408564814,8.767547743055555,9.395272352430556,13.162425130208334
77,00:00:03.080,10.358698640046297,8.746980251736112,9.33541015625,12.993705512152777
78,00:00:03.120,10.404796730324074,8.739545355902777,9.434027777777779,13.040817057291667
79,00:00:03.160,10.577617187500001,9.173712022569445,9.459842664930555,13.099296875
80,00:00:03.200,10.91105613425926,9.443115234375,9.738481987847223,13.551571180555555
81,00:00:03.240,10.899068287037037,9.297884114583333,9.836253255208334,13.563067491319444
82,00:00:03.280,11.132266710069445,9.373092447916667,10.065336371527778,13.958371310763889
83,00:00:03.320,11.625305266203704,10.31568142361111,10.3177734375,14.2424609375
84,00:00:03.360,12.053411458333334,10.50808376736111,10.865462239583334,14.786688368055556
85,00:00:03.400,12.892592954282406,11.283923611111112,11.515769314236111,15.8780859375
86,00:00:03.440,13.275175781249999,11.424230685763888,11.973623046875,16.42767361111111
87,00:00:03.480,13.562061631944443,11.124090711805556,12.623618706597222,16.938475477430554
88,00:00:03.520,14.712551359953702,12.812670355902778,13.330673828125,17.994309895833332
89,00:00:03.560,15.508808232060185,12.950398220486111,14.681786024305556,18.89424045138889
90,00:00:03.600,16.026389250578703,12.694577907986112,15.643971354166666,19.740618489583333
91,00:00:03.640,16.22034324363426,13.27102322048611,15.784996744791666,19.605009765625
92,00:00:03.680,14.57318214699074,11.182481553819445,14.371821831597222,18.165243055555557
93,00:00:03.720,13.31529369212963,10.150764973958333,13.017153862847222,16.777962239583335
94,00:00:03.760,11.898481626157407,9.111014539930556,11.618233506944444,14.966196831597221
95,00:00:03.800,11.706520905671296,8.808772786458333,11.125536024305555,15.18525390625
96,00:00:03.840,11.430084635416668,8.37884548611111,10.970342881944445,14.941065538194444
97,00:00:03.880,11.220979094328703,7.994699435763889,10.757508680555556,14.910729166666666
98,00:00:03.920,11.078718171296297,8.158127170138888,10.48208984375,14.5959375
99,00:00:03.960,10.831816044560185,7.741754557291666,10.365555555555556,14.388138020833333
100,00:00:04.000,12.166512948495372,8.110547960069445,13.173692491319445,15.215298394097223
101,00:00:04.040,11.11281177662037,8.42392578125,10.501635199652778,14.412874348958333
102,00:00:04.080,11.431044560185185,8.432885199652778,10.939800347222222,14.920448133680555
103,00:00:04.120,11.906108940972222,9.187815755208334,11.106815321180555,15.423695746527779
104,00:00:04.160,11.813549262152778,9.133269314236111,11.033493923611111,15.273884548611111
105,00:00:04.200,11.298917824074074,8.572062717013889,10.631078559027777,14.693612196180556
106,00:00:04.240,11.12523292824074,8.729741753472222,10.274702690972223,14.371254340277778
107,00:00:04.280,11.19066116898148,8.588825954861111,10.459583333333333,14.52357421875
108,00:00:04.320,11.172392578124999,8.656087239583334,10.359631076388888,14.501459418402778
109,00:00:04.360,11.143649811921298,8.81560546875,10.239633246527777,14.375710720486111
110,00:00:04.400,11.05349537037037,8.388588324652778,10.32945095486111,14.442446831597222
111,00:00:04.440,11.230395326967594,8.592698567708334,10.426815321180555,14.671672092013889
112,00:00:04.480,11.398739872685185,8.899536675347223,10.5312890625,14.765393880208334
113,00:00:04.520,10.962779224537037,8.277342664930556,10.278996310763889,14.331998697916667
114,00:00:04.560,10.420400390625,7.748116319444445,9.845659722222223,13.667425130208333
115,00:00:04.600,10.431479673032406,7.990315755208333,9.708107638888889,13.596015625
116,00:00:04.640,10.580390263310184,7.828528645833333,9.963090277777777,13.949551866319444
117,00:00:04.680,10.77331344039352,8.092903645833333,10.055501302083334,14.17153537326389
118,00:00:04.720,10.455867332175925,8.134496527777777,9.56100802951389,13.672097439236111
119,00:00:04.760,10.049600332754629,7.503802083333333,9.43932400173611,13.205674913194445
120,00:00:04.800,10.452100694444445,7.938811848958333,9.732056206597223,13.685434027777777
121,00:00:04.840,10.23364185474537,7.875811631944444,9.406588541666666,13.418525390625
122,00:00:04.880,9.855682870370371,7.359150390625,9.174019097222223,13.033879123263889
123,00:00:04.920,9.574927662037036,7.165481770833333,8.955798611111112,12.603502604166666
124,00:00:04.960,9.62265335648148,7.297186414930556,8.97181640625,12.598957248263888
125,00:00:05.000,9.599671947337962,7.060457899305556,9.056605902777777,12.681952039930556
126,00:00:05.040,9.522156394675926,7.148970269097222,8.881089409722222,12.536409505208333
127,00:00:05.080,8.92841579861111,6.522772352430556,8.521521267361111,11.740953776041666
128,00:00:05.120,11.781539713541667,11.197087673611112,9.152645399305555,14.994886067708334
129,00:00:05.160,9.54576027199074,7.148884548611111,9.022749565972223,12.46564670138889
130,00:00:05.200,10.112591507523147,8.064231770833333,9.26061306423611,13.0129296875
131,00:00:05.240,9.803567708333333,7.4559516059027775,9.182491319444445,12.772260199652777
132,00:00:05.280,10.219772135416667,8.052954644097222,9.371279296875,13.235082465277777
133,00:00:05.320,10.483157913773148,8.560494791666667,9.46129665798611,13.427682291666667
134,00:00:05.360,10.357595124421296,8.101258680555556,9.528310546875,13.443216145833333
135,00:00:05.400,10.80340675636574,8.51982638888889,9.893599175347223,13.996794704861111
136,00:00:05.440,10.972548466435185,9.054297960069444,9.826810980902778,14.036536458333334
137,00:00:05.480,10.522866030092592,8.394219835069444,9.585823567708333,13.5885546875
138,00:00:05.520,10.435967881944444,8.326435546875,9.517098524305556,13.464369574652778
139,00:00:05.560,10.718136935763889,8.744039713541667,9.660648871527778,13.749722222222223
140,00:00:05.600,10.513622685185185,8.211841362847222,9.682227647569444,13.64679904513889
141,00:00:05.640,10.314907045717595,8.129720052083334,9.448370225694445,13.366630859375
142,00:00:05.680,10.348848741319445,8.340137803819445,9.378861762152777,13.327546657986112
143,00:00:05.720,10.22542136863426,7.861379123263889,9.472493489583334,13.342391493055555
144,00:00:05.760,10.562651909722222,8.421057942708334,9.565250651041667,13.701647135416666
145,00:00:05.800,9.946468822337962,7.770235460069444,9.15537109375,12.913799913194444
146,00:00:05.840,9.44150390625,7.191564670138889,8.798356119791666,12.334590928819445
147,00:00:05.880,9.473174189814815,7.407887369791666,8.797820095486111,12.213815104166667
148,00:00:05.920,9.406470269097222,7.095143229166666,8.886605902777777,12.237661675347223
149,00:00:05.960,9.281617838541665,7.061366102430555,8.734039713541666,12.049447699652777
150,00:00:06.000,9.076435908564815,7.1519552951388885,8.410786675347222,11.666565755208333
151,00:00:06.040,8.729671223958334,6.587693142361111,8.244643012152778,11.356677517361112
152,00:00:06.080,8.814389829282408,6.647752821180555,8.314009331597223,11.481407335069445
153,00:00:06.120,52.90555049189815,35.25322482638889,50.00061306423611,73.46281358506944
154,00:00:06.160,11.396997612847223,6.097420789930555,12.508557942708334,15.585014105902777
155,00:00:06.200,10.639802517361112,5.4190451388888885,11.643091362847223,14.857271050347222
